start,end,ori,sf,tf,contrast
174089,174179,45,0.08,8,0.8
216884,216974,45,0.08,8,0.8
224842,224932,45,0.08,8,0.8
234602,234692,45,0.08,8,0.8
509,599,45,0.08,15,0.8
7116,7206,45,0.08,15,0.8
47658,47748,45,0.08,15,0.8
65977,66067,45,0.08,15,0.8
94206,94296,45,0.08,15,0.8
152917,153007,45,0.08,15,0.8
168534,168624,45,0.08,15,0.8
227095,227185,45,0.08,15,0.8
3061,3151,45,0.16,1,0.8
33994,34084,45,0.16,1,0.8
44204,44294,45,0.16,1,0.8
145109,145199,45,0.16,1,0.8
149914,150004,45,0.16,1,0.8
195562,195652,45,0.16,1,0.8
217785,217875,45,0.16,1,0.8
232200,232290,45,0.16,1,0.8
3212,3302,45,0.16,2,0.8
13722,13813,45,0.16,2,0.8
19278,19368,45,0.16,2,0.8
86999,87089,45,0.16,2,0.8
151266,151356,45,0.16,2,0.8
171987,172077,45,0.16,2,0.8
197664,197754,45,0.16,2,0.8
218836,218926,45,0.16,2,0.8
10419,10509,45,0.16,4,0.8
63424,63514,45,0.16,4,0.8
71082,71172,45,0.16,4,0.8
91353,91443,45,0.16,4,0.8
186702,186793,45,0.16,4,0.8
190907,190997,45,0.16,4,0.8
207424,207514,45,0.16,4,0.8
234152,234242,45,0.16,4,0.8
11620,11710,45,0.16,8,0.8
66577,66668,45,0.16,8,0.8
87599,87689,45,0.16,8,0.8
105017,105108,45,0.16,8,0.8
117480,117571,45,0.16,8,0.8
138352,138442,45,0.16,8,0.8
145259,145349,45,0.16,8,0.8
173188,173279,45,0.16,8,0.8
10119,10209,45,0.16,15,0.8
75887,75977,45,0.16,15,0.8
92404,92494,45,0.16,15,0.8
103816,103906,45,0.16,15,0.8
152467,152557,45,0.16,15,0.8
159825,159915,45,0.16,15,0.8
183249,183339,45,0.16,15,0.8
191357,191447,45,0.16,15,0.8
7566,7656,45,0.32,1,0.8
27237,27327,45,0.32,1,0.8
41051,41141,45,0.32,1,0.8
49610,49700,45,0.32,1,0.8
108771,108861,45,0.32,1,0.8
124538,124628,45,0.32,1,0.8
155320,155410,45,0.32,1,0.8
226794,226884,45,0.32,1,0.8
35345,35435,45,0.32,2,0.8
36847,36937,45,0.32,2,0.8
80992,81083,45,0.32,2,0.8
178894,178984,45,0.32,2,0.8
185802,185892,45,0.32,2,0.8
215683,215773,45,0.32,2,0.8
218235,218325,45,0.32,2,0.8
229647,229737,45,0.32,2,0.8
25885,25975,45,0.32,4,0.8
67779,67869,45,0.32,4,0.8
131745,131835,45,0.32,4,0.8
163578,163669,45,0.32,4,0.8
185351,185441,45,0.32,4,0.8
193009,193099,45,0.32,4,0.8
222890,222980,45,0.32,4,0.8
226644,226734,45,0.32,4,0.8
8317,8407,45,0.32,8,0.8
90152,90242,45,0.32,8,0.8
106219,106309,45,0.32,8,0.8
131145,131235,45,0.32,8,0.8
214782,214872,45,0.32,8,0.8
221839,221929,45,0.32,8,0.8
223190,223281,45,0.32,8,0.8
237605,237696,45,0.32,8,0.8
69130,69220,45,0.32,15,0.8
122586,122676,45,0.32,15,0.8
172438,172528,45,0.32,15,0.8
179945,180036,45,0.32,15,0.8
192108,192198,45,0.32,15,0.8
199766,199856,45,0.32,15,0.8
209376,209466,45,0.32,15,0.8
232050,232140,45,0.32,15,0.8
5013,5104,90,0.02,1,0.8
21230,21320,90,0.02,1,0.8
35645,35735,90,0.02,1,0.8
67328,67418,90,0.02,1,0.8
95558,95648,90,0.02,1,0.8
178444,178534,90,0.02,1,0.8
226344,226434,90,0.02,1,0.8
238957,239047,90,0.02,1,0.8
44955,45045,90,0.02,2,0.8
46457,46547,90,0.02,2,0.8
52613,52703,90,0.02,2,0.8
65226,65316,90,0.02,2,0.8
103666,103756,90,0.02,2,0.8
106519,106609,90,0.02,2,0.8
204571,204661,90,0.02,2,0.8
217485,217575,90,0.02,2,0.8
46156,46246,90,0.02,4,0.8
52463,52553,90,0.02,4,0.8
106819,106909,90,0.02,4,0.8
108922,109012,90,0.02,4,0.8
119282,119372,90,0.02,4,0.8
130544,130634,90,0.02,4,0.8
192408,192499,90,0.02,4,0.8
202919,203009,90,0.02,4,0.8
56217,56307,90,0.02,8,0.8
68830,68920,90,0.02,8,0.8
132046,132136,90,0.02,8,0.8
155020,155110,90,0.02,8,0.8
166582,166672,90,0.02,8,0.8
182348,182438,90,0.02,8,0.8
229047,229137,90,0.02,8,0.8
229497,229587,90,0.02,8,0.8
38498,38588,90,0.02,15,0.8
44054,44144,90,0.02,15,0.8
56667,56757,90,0.02,15,0.8
100363,100453,90,0.02,15,0.8
165530,165621,90,0.02,15,0.8
169284,169374,90,0.02,15,0.8
195412,195502,90,0.02,15,0.8
222139,222229,90,0.02,15,0.8
19128,19218,90,0.04,1,0.8
57718,57808,90,0.04,1,0.8
69731,69821,90,0.04,1,0.8
163278,163368,90,0.04,1,0.8
179045,179135,90,0.04,1,0.8
203820,203910,90,0.04,1,0.8
231299,231389,90,0.04,1,0.8
233401,233491,90,0.04,1,0.8
10569,10659,90,0.04,2,0.8
75437,75527,90,0.04,2,0.8
88200,88290,90,0.04,2,0.8
96008,96098,90,0.04,2,0.8
101113,101204,90,0.04,2,0.8
140905,140995,90,0.04,2,0.8
184000,184090,90,0.04,2,0.8
223791,223881,90,0.04,2,0.8
24534,24624,90,0.04,4,0.8
68980,69070,90,0.04,4,0.8
85497,85587,90,0.04,4,0.8
96609,96699,90,0.04,4,0.8
129943,130034,90,0.04,4,0.8
147962,148052,90,0.04,4,0.8
191658,191748,90,0.04,4,0.8
201117,201208,90,0.04,4,0.8
13272,13362,90,0.04,8,0.8
26035,26125,90,0.04,8,0.8
58169,58259,90,0.04,8,0.8
74836,74926,90,0.04,8,0.8
95407,95498,90,0.04,8,0.8
150064,150154,90,0.04,8,0.8
158623,158713,90,0.04,8,0.8
225293,225383,90,0.04,8,0.8
20329,20419,90,0.04,15,0.8
77839,77929,90,0.04,15,0.8
147211,147301,90,0.04,15,0.8
161777,161867,90,0.04,15,0.8
209827,209917,90,0.04,15,0.8
224091,224181,90,0.04,15,0.8
230098,230188,90,0.04,15,0.8
240158,240248,90,0.04,15,0.8
13122,13212,90,0.08,1,0.8
50361,50451,90,0.08,1,0.8
55015,55106,90,0.08,1,0.8
111174,111264,90,0.08,1,0.8
174840,174930,90,0.08,1,0.8
179195,179285,90,0.08,1,0.8
203520,203610,90,0.08,1,0.8
212079,212169,90,0.08,1,0.8
62523,62613,90,0.08,2,0.8
89852,89942,90,0.08,2,0.8
115378,115468,90,0.08,2,0.8
135049,135139,90,0.08,2,0.8
135349,135439,90,0.08,2,0.8
162828,162918,90,0.08,2,0.8
202619,202709,90,0.08,2,0.8
227995,228086,90,0.08,2,0.8
1560,1650,90,0.08,4,0.8
57268,57358,90,0.08,4,0.8
98861,98951,90,0.08,4,0.8
120033,120123,90,0.08,4,0.8
141806,141896,90,0.08,4,0.8
171387,171477,90,0.08,4,0.8
188504,188594,90,0.08,4,0.8
231149,231239,90,0.08,4,0.8
32342,32432,90,0.08,8,0.8
61772,61863,90,0.08,8,0.8
78140,78230,90,0.08,8,0.8
85197,85287,90,0.08,8,0.8
133397,133487,90,0.08,8,0.8
176792,176882,90,0.08,8,0.8
181747,181837,90,0.08,8,0.8
226194,226284,90,0.08,8,0.8
25134,25224,90,0.08,15,0.8
81593,81683,90,0.08,15,0.8
91804,91894,90,0.08,15,0.8
132496,132586,90,0.08,15,0.8
138502,138592,90,0.08,15,0.8
143007,143097,90,0.08,15,0.8
156821,156911,90,0.08,15,0.8
183099,183189,90,0.08,15,0.8
45856,45946,90,0.16,1,0.8
68379,68469,90,0.16,1,0.8
74536,74626,90,0.16,1,0.8
82494,82584,90,0.16,1,0.8
111474,111564,90,0.16,1,0.8
139704,139794,90,0.16,1,0.8
151416,151506,90,0.16,1,0.8
206523,206613,90,0.16,1,0.8
14323,14413,90,0.16,2,0.8
14774,14864,90,0.16,2,0.8
77389,77479,90,0.16,2,0.8
116880,116970,90,0.16,2,0.8
139403,139493,90,0.16,2,0.8
159074,159164,90,0.16,2,0.8
206823,206914,90,0.16,2,0.8
210427,210517,90,0.16,2,0.8
116129,116219,90,0.16,4,0.8
118381,118471,90,0.16,4,0.8
120183,120273,90,0.16,4,0.8
126039,126129,90,0.16,4,0.8
156521,156611,90,0.16,4,0.8
160275,160365,90,0.16,4,0.8
168834,168924,90,0.16,4,0.8
213280,213370,90,0.16,4,0.8
12221,12311,90,0.16,8,0.8
43754,43844,90,0.16,8,0.8
86398,86488,90,0.16,8,0.8
92855,92945,90,0.16,8,0.8
114928,115018,90,0.16,8,0.8
122436,122526,90,0.16,8,0.8
217184,217274,90,0.16,8,0.8
227545,227635,90,0.16,8,0.8
24083,24173,90,0.16,15,0.8
79791,79881,90,0.16,15,0.8
128292,128382,90,0.16,15,0.8
167332,167422,90,0.16,15,0.8
180246,180336,90,0.16,15,0.8
210878,210968,90,0.16,15,0.8
217935,218025,90,0.16,15,0.8
227395,227485,90,0.16,15,0.8
38648,38739,90,0.32,1,0.8
108021,108111,90,0.32,1,0.8
123186,123276,90,0.32,1,0.8
124388,124478,90,0.32,1,0.8
137451,137541,90,0.32,1,0.8
183699,183789,90,0.32,1,0.8
213731,213821,90,0.32,1,0.8
237005,237095,90,0.32,1,0.8
